char_ngram,language,count
aa,es,137865
ab,es,203824
ac,es,521667
ad,es,649255
ae,es,188742
af,es,58332
ag,es,70456
ah,es,61953
ai,es,62144
aj,es,53501
ak,es,6601
al,es,601469
am,es,322866
an,es,525572
ao,es,57924
ap,es,218599
aq,es,82389
ar,es,717688
as,es,746800
at,es,197035
au,es,84037
av,es,84057
aw,es,3821
ax,es,2547
ay,es,99916
az,es,34432
ba,es,140223
bb,es,1851
bc,es,2330
bd,es,2367
be,es,84830
bf,es,274
bg,es,199
bh,es,915
bi,es,116348
bj,es,7383
bk,es,158
bl,es,94344
bm,es,628
bn,es,1262
bo,es,41248
bp,es,1035
bq,es,198
br,es,119983
bs,es,14252
bt,es,3968
bu,es,47731
bv,es,1480
bw,es,212
bx,es,48
by,es,2311
bz,es,76
ca,es,341934
cb,es,574
cc,es,39687
cd,es,3810
ce,es,198567
cf,es,3324
cg,es,538
ch,es,114455
ci,es,609667
cj,es,164
ck,es,6975
cl,es,48843
cm,es,14305
cn,es,10094
co,es,550117
cp,es,3144
cq,es,672
cr,es,69952
cs,es,3089
ct,es,111631
cu,es,185622
cv,es,415
cw,es,166
cx,es,43
cy,es,2138
cz,es,207
da,es,378608
db,es,2085
dc,es,10482
dd,es,29391
de,es,1233536
df,es,2505
dg,es,3157
dh,es,3996
di,es,264694
dj,es,3912
dk,es,364
dl,es,8133
dm,es,10104
dn,es,13688
do,es,486747
dp,es,8125
dq,es,4512
dr,es,44019
ds,es,9651
dt,es,3670
du,es,52999
dv,es,2949
dw,es,1083
dx,es,66
dy,es,10008
dz,es,231
ea,es,229359
eb,es,75649
ec,es,389611
ed,es,301528
ee,es,226155
ef,es,64090
eg,es,139528
eh,es,70885
ei,es,60153
ej,es,66378
ek,es,4714
el,es,848890
em,es,252170
en,es,1170801
eo,es,81914
ep,es,162896
eq,es,70473
er,es,809186
es,es,1309912
et,es,172188
eu,es,76790
ev,es,101276
ew,es,4318
ex,es,65268
ey,es,36982
ez,es,33426
fa,es,41860
fb,es,897
fc,es,5163
fd,es,620
fe,es,59097
ff,es,2392
fg,es,826
fh,es,287
fi,es,96311
fj,es,186
fk,es,111
fl,es,10637
fm,es,723
fn,es,886
fo,es,66391
fp,es,839
fq,es,145
fr,es,33812
fs,es,2538
ft,es,2520
fu,es,58434
fv,es,103
fw,es,139
fx,es,21
fy,es,497
fz,es,26
ga,es,123402
gb,es,666
gc,es,1111
gd,es,1604
ge,es,62102
gf,es,463
gg,es,1360
gh,es,2869
gi,es,49199
gj,es,180
gk,es,522
gl,es,20216
gm,es,2177
gn,es,22247
go,es,94901
gp,es,1079
gq,es,316
gr,es,87351
gs,es,3538
gt,es,2429
gu,es,112097
gv,es,280
gw,es,335
gx,es,63
gy,es,1205
gz,es,67
ha,es,203515
hb,es,1804
hc,es,2635
hd,es,2079
he,es,65304
hf,es,588
hg,es,759
hh,es,1218
hi,es,46911
hj,es,268
hk,es,362
hl,es,1799
hm,es,2240
hn,es,3869
ho,es,104274
hp,es,1459
hq,es,631
hr,es,2929
hs,es,3032
ht,es,4862
hu,es,22942
hv,es,830
hw,es,467
hx,es,15
hy,es,2008
hz,es,132
ia,es,257765
ib,es,58674
ic,es,305140
id,es,260895
ie,es,360615
if,es,38450
ig,es,88884
ih,es,6315
ii,es,7062
ij,es,21461
ik,es,3273
il,es,109073
im,es,132252
in,es,631668
io,es,295716
ip,es,45653
iq,es,9569
ir,es,130331
is,es,232856
it,es,151974
iu,es,11113
iv,es,96868
iw,es,525
ix,es,1698
iy,es,3673
iz,es,53037
ja,es,47302
jb,es,132
jc,es,280
jd,es,482
je,es,55471
jf,es,56
jg,es,44
jh,es,119
ji,es,5067
jj,es,126
jk,es,104
jl,es,258
jm,es,264
jn,es,619
jo,es,68355
jp,es,337
jq,es,115
jr,es,1346
js,es,437
jt,es,217
ju,es,36900
jv,es,1492
jw,es,44
jx,es,8
jy,es,110
jz,es,14
ka,es,7045
kb,es,397
kc,es,613
kd,es,744
ke,es,8722
kf,es,353
kg,es,666
kh,es,1318
ki,es,7299
kj,es,211
kk,es,392
kl,es,1336
km,es,1438
kn,es,826
ko,es,3818
kp,es,674
kq,es,232
kr,es,1299
ks,es,1949
kt,es,755
ku,es,1856
kv,es,271
kw,es,357
kx,es,8
ky,es,2208
kz,es,45
la,es,822426
lb,es,12768
lc,es,80039
ld,es,88108
le,es,332820
lf,es,19229
lg,es,52280
lh,es,12587
li,es,210579
lj,es,4594
lk,es,1583
ll,es,133989
lm,es,66615
ln,es,23185
lo,es,434511
lp,es,84057
lq,es,18675
lr,es,24566
ls,es,51408
lt,es,85842
lu,es,71287
lv,es,29916
lw,es,743
lx,es,581
ly,es,16001
lz,es,1223
ma,es,278581
mb,es,88826
mc,es,2744
md,es,4893
me,es,320872
mf,es,668
mg,es,1848
mh,es,885
mi,es,254138
mj,es,207
mk,es,202
ml,es,2525
mm,es,5154
mn,es,9099
mo,es,238563
mp,es,122350
mq,es,1491
mr,es,3798
ms,es,48996
mt,es,7582
mu,es,91967
mv,es,1280
mw,es,250
mx,es,2594
my,es,3370
mz,es,76
na,es,452141
nb,es,15976
nc,es,261738
nd,es,358512
ne,es,430314
nf,es,65439
ng,es,69312
nh,es,18992
ni,es,208244
nj,es,11464
nk,es,4613
nl,es,125397
nm,es,67063
nn,es,32365
no,es,376486
np,es,74434
nq,es,29033
nr,es,28570
ns,es,179984
nt,es,622965
nu,es,93574
nv,es,45899
nw,es,1587
nx,es,853
ny,es,26077
nz,es,15541
oa,es,112698
ob,es,106767
oc,es,193459
od,es,353716
oe,es,189145
of,es,40113
og,es,50173
oh,es,55712
oi,es,31161
oj,es,13136
ok,es,4856
ol,es,215590
om,es,261275
on,es,608851
oo,es,30792
op,es,178256
oq,es,92837
or,es,492711
os,es,913256
ot,es,141816
ou,es,39592
ov,es,45096
ow,es,5181
ox,es,4275
oy,es,95732
oz,es,5507
pa,es,303720
pb,es,8449
pc,es,7752
pd,es,1348
pe,es,230759
pf,es,409
pg,es,2395
ph,es,3188
pi,es,60403
pj,es,374
pk,es,178
pl,es,69995
pm,es,1066
pn,es,3275
po,es,301066
pp,es,2693
pq,es,281
pr,es,257648
ps,es,5601
pt,es,19337
pu,es,102784
pv,es,237
pw,es,1369
px,es,59
py,es,1174
pz,es,60
qa,es,471
qb,es,25
qc,es,84
qd,es,88
qe,es,145
qf,es,21
qg,es,9
qh,es,32
qi,es,173
qj,es,12
qk,es,4
ql,es,77
qm,es,35
qn,es,64
qo,es,35
qp,es,83
qq,es,65
qr,es,38
qs,es,100
qt,es,59
qu,es,488078
qv,es,21
qw,es,9
qx,es,2
qy,es,122
qz,es,5
ra,es,749319
rb,es,13303
rc,es,89184
rd,es,113682
re,es,717921
rf,es,19160
rg,es,49532
rh,es,8131
ri,es,283056
rj,es,4513
rk,es,5116
rl,es,103952
rm,es,126562
rn,es,71631
ro,es,400061
rp,es,41840
rq,es,42101
rr,es,89396
rs,es,104006
rt,es,175059
ru,es,74773
rv,es,29161
rw,es,1439
rx,es,2604
ry,es,17031
rz,es,10446
sa,es,351216
sb,es,24724
sc,es,191534
sd,es,279407
se,es,563102
sf,es,41127
sg,es,24069
sh,es,52949
si,es,342054
sj,es,8328
sk,es,3526
sl,es,96927
sm,es,108307
sn,es,59115
so,es,271943
sp,es,260786
sq,es,80505
sr,es,59521
ss,es,99162
st,es,567575
su,es,206937
sv,es,27706
sw,es,2020
sx,es,489
sy,es,76595
sz,es,1927
ta,es,528048
tb,es,7514
tc,es,22426
td,es,6740
te,es,596431
tf,es,3055
tg,es,2007
th,es,13795
ti,es,313926
tj,es,638
tk,es,344
tl,es,7298
tm,es,7288
tn,es,22453
to,es,428758
tp,es,8744
tq,es,1330
tr,es,286250
ts,es,20273
tt,es,13000
tu,es,113315
tv,es,1730
tw,es,1519
tx,es,285
ty,es,4865
tz,es,927
ua,es,100633
ub,es,28899
uc,es,98739
ud,es,60594
ue,es,619993
uf,es,9430
ug,es,20353
uh,es,9681
ui,es,116824
uj,es,14778
uk,es,1331
ul,es,89080
um,es,56116
un,es,375614
uo,es,7433
up,es,54725
uq,es,3004
ur,es,115786
us,es,121910
ut,es,54004
uu,es,2076
uv,es,15337
uw,es,467
ux,es,1229
uy,es,29314
uz,es,5089
va,es,125651
vb,es,162
vc,es,2414
vd,es,1687
ve,es,148372
vf,es,140
vg,es,118
vh,es,168
vi,es,140422
vj,es,36
vk,es,105
vl,es,1183
vm,es,719
vn,es,1373
vo,es,79376
vp,es,458
vq,es,414
vr,es,717
vs,es,3806
vt,es,316
vu,es,8867
vv,es,176
vw,es,43
vx,es,22
vy,es,661
vz,es,47
wa,es,7043
wb,es,269
wc,es,444
wd,es,357
we,es,5102
wf,es,201
wg,es,213
wh,es,1316
wi,es,4780
wj,es,87
wk,es,173
wl,es,402
wm,es,296
wn,es,1007
wo,es,2621
wp,es,342
wq,es,54
wr,es,434
ws,es,1312
wt,es,320
wu,es,344
wv,es,115
ww,es,3501
wx,es,14
wy,es,601
wz,es,41
xa,es,8432
xb,es,132
xc,es,6576
xd,es,382
xe,es,2056
xf,es,258
xg,es,251
xh,es,1086
xi,es,20351
xj,es,66
xk,es,50
xl,es,276
xm,es,703
xn,es,221
xo,es,4614
xp,es,18211
xq,es,168
xr,es,216
xs,es,410
xt,es,14575
xu,es,1577
xv,es,473
xw,es,58
xx,es,668
xy,es,722
xz,es,12
ya,es,68975
yb,es,9324
yc,es,23681
yd,es,31761
ye,es,65621
yf,es,6197
yg,es,3653
yh,es,7124
yi,es,3008
yj,es,2110
yk,es,753
yl,es,42469
ym,es,16120
yn,es,13762
yo,es,48986
yp,es,22594
yq,es,9700
yr,es,9423
ys,es,28560
yt,es,15724
yu,es,22775
yv,es,5427
yw,es,732
yx,es,147
yy,es,5885
yz,es,331
za,es,82392
zb,es,567
zc,es,6764
zd,es,5128
ze,es,6092
zf,es,374
zg,es,1310
zh,es,1087
zi,es,2404
zj,es,124
zk,es,146
zl,es,2226
zm,es,2643
zn,es,6856
zo,es,23070
zp,es,2032
zq,es,3487
zr,es,563
zs,es,3407
zt,es,1111
zu,es,2585
zv,es,430
zw,es,66
zx,es,13
zy,es,2410
zz,es,946
aa,et,261261
ab,et,106686
ac,et,15242
ad,et,278406
ae,et,135128
af,et,12534
ag,et,122868
ah,et,158436
ai,et,118844
aj,et,113787
ak,et,288281
al,et,442631
am,et,286570
an,et,339005
ao,et,99754
ap,et,117134
aq,et,515
ar,et,231496
as,et,564794
at,et,424756
au,et,47732
av,et,192586
aw,et,19663
ax,et,1700
ay,et,11128
az,et,6064
ba,et,61346
bb,et,5898
bc,et,3896
bd,et,5487
be,et,47697
bf,et,4584
bg,et,625
bh,et,4424
bi,et,46534
bj,et,4719
bk,et,16572
bl,et,15529
bm,et,13982
bn,et,5822
bo,et,18364
bp,et,7283
bq,et,92
br,et,22148
bs,et,21332
bt,et,12000
bu,et,13553
bv,et,7829
bw,et,616
bx,et,118
by,et,1694
bz,et,822
ca,et,14899
cb,et,3597
cc,et,5286
cd,et,5412
ce,et,11162
cf,et,4079
cg,et,437
ch,et,15547
ci,et,4879
cj,et,501
ck,et,7200
cl,et,3235
cm,et,1476
cn,et,987
co,et,22889
cp,et,1854
cq,et,267
cr,et,14364
cs,et,2297
ct,et,4323
cu,et,1858
cv,et,1069
cw,et,519
cx,et,546
cy,et,1245
cz,et,988
da,et,387542
db,et,7047
dc,et,7156
dd,et,10871
de,et,255311
df,et,6652
dg,et,2540
dh,et,17779
di,et,130832
dj,et,32421
dk,et,73271
dl,et,40036
dm,et,72109
dn,et,30163
do,et,53963
dp,et,45629
dq,et,171
dr,et,30446
ds,et,70535
dt,et,53580
du,et,119350
dv,et,39392
dw,et,5163
dx,et,498
dy,et,7017
dz,et,1253
ea,et,227895
eb,et,43790
ec,et,23687
ed,et,216154
ee,et,376313
ef,et,13543
eg,et,137629
eh,et,83141
ei,et,275689
ej,et,62998
ek,et,256951
el,et,433683
em,et,247266
en,et,300038
eo,et,91767
ep,et,110712
eq,et,846
er,et,200405
es,et,475268
et,et,394244
eu,et,33716
ev,et,158047
ew,et,5952
ex,et,15931
ey,et,4281
ez,et,2916
fa,et,11781
fb,et,3819
fc,et,3988
fd,et,5284
fe,et,11059
ff,et,5615
fg,et,1341
fh,et,384
fi,et,19578
fj,et,332
fk,et,399
fl,et,3106
fm,et,658
fn,et,468
fo,et,14224
fp,et,625
fq,et,58
fr,et,6292
fs,et,2121
ft,et,2466
fu,et,2863
fv,et,854
fw,et,604
fx,et,53
fy,et,251
fz,et,768
ga,et,214259
gb,et,1350
gc,et,1399
gd,et,1699
ge,et,99642
gf,et,1264
gg,et,2134
gh,et,3052
gi,et,149965
gj,et,1608
gk,et,5274
gl,et,12000
gm,et,23778
