char_ngram,language,count
a,es,5965614
b,es,687994
c,es,2323387
d,es,2609846
e,es,6929791
f,es,386853
g,es,594800
h,es,483869
i,es,3326872
j,es,220285
k,es,48675
l,es,2716433
m,es,1501831
n,es,3689116
o,es,4516577
p,es,1389521
q,es,490068
r,es,3400468
s,es,4000971
t,es,2422930
u,es,2028393
v,es,518531
w,es,32198
x,es,83800
y,es,478686
z,es,164361
a,et,4598259
b,et,360321
c,et,132262
d,et,1619487
e,et,4318841
f,et,99873
g,et,718880
h,et,721806
i,et,3585542
j,et,553906
k,et,1683419
l,et,2249354
m,et,1647533
n,et,1948375
o,et,1602222
p,et,682667
q,et,5061
r,et,1246243
s,et,3266180
t,et,2900504
u,et,2057423
v,et,847212
w,et,125579
x,et,31167
y,et,64576
z,et,50956
a,li,49097
b,li,14879
c,li,6157
d,li,24265
e,li,111686
f,li,8788
g,li,22048
h,li,6542
i,li,44945
j,li,16001
k,li,21911
l,li,27234
m,li,15975
n,li,43562
o,li,30306
p,li,16891
q,li,85
r,li,39582
s,li,35160
t,li,43683
u,li,16301
v,li,13784
w,li,8801
x,li,996
y,li,1246
z,li,4312
a,fr,5964745
b,fr,679443
c,fr,2860306
d,fr,3324069
e,fr,11312208
f,fr,866878
g,fr,810414
h,fr,545755
i,fr,5899226
j,fr,331342
k,fr,77200
l,fr,4166845
m,fr,2256131
n,fr,5967092
o,fr,4665870
p,fr,2435725
q,fr,728199
r,fr,5335855
s,fr,6522983
t,fr,5821595
u,fr,4370889
v,fr,1150986
w,fr,65424
x,fr,368326
y,fr,229407
z,fr,116168
a,eo,1006835
b,eo,103805
c,eo,88215
d,eo,241143
e,eo,760570
f,eo,101808
g,eo,111230
h,eo,53308
i,eo,925376
j,eo,200994
k,eo,306388
l,eo,483120
m,eo,331864
n,eo,719748
o,eo,805678
p,eo,230486
q,eo,1642
r,eo,491628
s,eo,577591
t,eo,505379
u,eo,296872
v,eo,204633
w,eo,8398
x,eo,4715
y,eo,14037
z,eo,43184
a,id,6497921
b,id,828304
c,id,195475
d,id,1132896
e,id,2209282
f,id,68800
g,id,1072977
h,id,857403
i,id,2426058
j,id,263358
k,id,2091538
l,id,953814
m,id,1407309
n,id,2914286
o,id,443687
p,id,796125
q,id,5166
r,id,1320027
s,id,1133018
t,id,1547950
u,id,1946517
v,id,25011
w,id,110520
x,id,5457
y,id,620712
z,id,14866
a,fi,4246832
b,fi,56972
c,fi,58042
d,fi,390474
e,fi,3284041
f,fi,36653
g,fi,73347
h,fi,806309
i,fi,4111690
j,fi,605518
k,fi,1842926
l,fi,2072651
m,fi,1310752
n,fi,3358456
o,fi,2131323
p,fi,653021
q,fi,1953
r,fi,838635
s,fi,2785857
t,fi,3930043
u,fi,1748222
v,fi,889231
w,fi,16691
x,fi,7133
y,fi,676618
z,fi,9048
a,as,27835
b,as,7847
c,as,16441
d,as,18244
e,as,37825
f,as,7715
g,as,8858
h,as,9170
i,as,25880
j,as,1081
k,as,4694
l,as,17709
m,as,17003
n,as,23476
o,as,26922
p,as,14967
q,as,1322
r,as,21658
s,as,40064
t,as,26048
u,as,14038
v,as,6682
w,as,4547
x,as,3404
y,as,5760
z,as,1117
a,cs,1931551
b,cs,533156
c,cs,713901
d,cs,1099865
e,cs,2613364
f,cs,96518
g,cs,103420
h,cs,680130
i,cs,1213875
j,cs,831180
k,cs,931597
l,cs,1207290
m,cs,1188880
n,cs,1817672
o,cs,2373415
p,cs,930647
q,cs,4040
r,cs,952202
s,cs,1363533
t,cs,1793712
u,cs,922673
